Symbol,Description,Price,Price - Currency,"Price change %, 1 day","Volume, 1 day","Relative volume, 1 day",Market capitalization,Market capitalization - Currency,Sector,Analyst rating,Industry,"Performance %, Year to date","Performance %, 1 week","Performance %, 1 month","Performance %, 3 months","Performance %, 6 months",Average daily range %,"Exponential moving average, 20, 1 day","Exponential moving average, 9, 1 day","Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Simple moving average, 7, 1 day","Simple moving average, 60, 1 day","Price × volume (turnover), 1 day","Price × volume (turnover), 1 day - Currency"
MODTHREAD,Modern Threads (India) Ltd,57.64,INR,19.386909693454847,192105,227.2087522176227,1530107117,INR,Process industries,No rating,Textiles,25.331593824744505,28.060431015329932,17.632653061224488,37.23809523809524,33.580533024333725,3.9840884306531175,48.40339745247271,49.30958431700092,47.46650616020793,46.460279617930304,48.31571428571425,46.753833333333326,11072932.2,INR
EXPLEOSOL,Expleo Solutions Limited,923.05,INR,13.125804277222858,6142838,207.61528478146252,12725410306,INR,Technology services,No rating,Information technology services,-4.148494288681209,10.155737215824322,15.446188481020576,1.9043939059395012,9.236686390532538,3.9202333877595517,833.071286519799,843.2521686211059,828.4922069755333,880.1518544455265,839.52142857143,830.3241666666679,5670146615.9,INR
PURVA,Puravankara Limited,226.6,INR,3.8449200311626353,23015575,155.5548909520884,51935781830,INR,Finance,No rating,Real estate development,-5.583333333333335,6.700569760323958,0.2654867256637143,-3.9830508474576294,-3.8771527954526235,3.0103391753878124,215.94184554991514,216.7744282611275,216.20108165567171,227.5355715507595,216.15571428571457,216.8588333333335,5215329295,INR
EMBASSY.RR,Embassy Office Parks REIT,440.29,INR,-2.721990234418151,61565199,113.48526281619871,428571200297,INR,Finance,Buy,Real estate investment trusts,1.146335860326214,-0.3530609935498477,-2.1229770585096825,3.6976848253609473,-1.2138209557998583,1.3633871182305772,442.0765623567938,443.16931195311247,439.46849870313196,429.05951613287647,443.1257142857148,437.8628333333328,27106541467.710003,INR
PKTEA,Peria Karamalai Tea & Produce Co. Ltd.,704.5,INR,3.6105595999705793,10552,86.7050123253903,2105042855.0000002,INR,Process industries,No rating,Agricultural commodities/Milling,-20.30993722074543,-0.7746478873239436,-1.1089275687815803,-15.309250465829178,-10.254777070063694,3.860387306093317,702.2663034852646,692.8274488088207,730.8565931188156,751.622793599207,689.8999999999996,749.9508333333324,7433884,INR
PAKKA,Pakka Ltd,89.28,INR,19.999999999999993,1787278,45.27161275614884,3332002607,INR,Process industries,No rating,Pulp & paper,-16.27906976744186,25.217391304347835,26.030491247882548,-0.8220395467673793,2.268041237113407,3.3458141321044383,74.27144653212993,75.9227620783362,76.76760283635406,100.62350350603474,74.88285714285725,77.8025000000001,159568179.84,INR
UFLEX,UFlex Limited,586.05,INR,19.99385749385749,3734414,38.033690814466276,35333079618,INR,Process industries,No rating,Containers/Packaging,17.444889779559112,20.09221311475409,33.77082857795022,48.44224924012156,25.170867150790254,2.616183407071644,488.1476301972175,507.8796141028484,462.73679372332924,463.89101439637074,506.3142857142857,447.57750000000044,2188553324.7,INR
METROGLOBL,Metroglobal Ltd.,154.74,INR,5.906508794743683,114739,32.070604019342035,1797118455,INR,Distribution services,No rating,Wholesale distributors,14.199261992619933,12.130434782608702,15.650224215246636,22.809523809523817,14.199261992619933,4.952085525951351,135.41074072974865,139.11693874360486,132.73492174935683,,137.9114285714286,131.29049999999998,17754712.86,INR
BI,Bilcare Ltd,92.17,INR,19.99739617237339,719068,31.519821857521084,1815808416,INR,Process industries,No rating,Containers/Packaging,49.86991869918699,45.792470737108516,45.1496062992126,42.89922480620155,49.86991869918699,4.854383979912877,65.9659339679057,70.82609100238643,63.5013251078114,,69.45714285714287,61.94466666666666,66276497.56,INR
ENCOMPAS,Encompass Design India Limited,245.6,INR,4.111911827045353,185600,30.933333333333334,3345898029.6,INR,Consumer durables,No rating,Home furnishings,3.1932773109243673,0.8210180623973727,-1.4248444712020916,3.1932773109243673,-1.9560878243512996,4.292694276407667,242.81775252601614,243.24969721456225,242.04241755203518,,241.7428571428571,239.48416666666654,45583360,INR
OSWALSEEDS,ShreeOswal Seeds & Chemicals Ltd.,13.59,INR,11.851851851851848,3693127,29.75384035313444,1111360500,INR,Process industries,No rating,Agricultural commodities/Milling,-23.82286995515695,27.845719661335828,30.172413793103456,10.487804878048774,-0.802919708029193,4.583201934195377,10.895465121544937,11.280837691653522,10.931280355447367,12.536229315364778,11.048571428571432,10.84350000000004,50189595.93,INR
TURTLEMINT,Turtlemint Fintech Solutions Limited,150.15,INR,9.247671711292206,21985821,28.875641452656485,40431955565,INR,Finance,No rating,Insurance brokers/Services,11.304670126019273,34.25429184549356,8.812232770490612,11.304670126019273,11.304670126019273,6.346034917463486,128.88362613860792,132.24860291076882,,,130.6142857142857,,3301171023.15,INR
ORICONENT,Oricon Enterprises Limited,53.38,INR,0.48945783132531084,475993,27.125508610766023,8303112483.999999,INR,Producer manufacturing,No rating,Miscellaneous manufacturing,-11.475953565505796,-2.768670309653909,-10.780544877151923,-17.111801242236027,-18.875379939209722,3.980891719745276,54.03243994459126,53.25256616275743,56.09903646273859,58.060370651574075,53.03857142857141,56.70733333333331,25408506.34,INR
ZAGGLE,Zaggle Prepaid Ocean Services Limited,160.48,INR,-19.996011765292394,12084279,22.237199414161587,26965639561,INR,Technology services,Strong buy,Packaged software,-54.538243626062325,-23.064384678076618,-23.943127962085313,-26.771617613506738,-38.74809160305344,4.106430707875931,200.4093751768667,194.60440309276385,207.58792232008685,257.6873121256206,196.78571428571425,205.9388333333335,1939285093.9199998,INR
PWL,PhysicsWallah Ltd.,119.97,INR,2.4334016393442575,103684614,21.116736446079027,339983914585,INR,Commercial services,Strong buy,Miscellaneous commercial services,-9.182437547312638,-8.719470440538696,-11.539595929803866,9.262295081967215,15.2449567723343,4.624965765250877,125.5577149831947,122.7194102895375,124.3308958971475,,123.4057142857143,122.90066666666667,12439043141.58,INR
VIKRAMSOLR,Vikram Solar Limited,183.1,INR,14.330315329378701,65091295,20.113122242553988,58031050163,INR,Electronic technology,Neutral,Semiconductors,-23.389121338912137,11.036992116434195,-6.097748602492442,-8.454577271136442,-18.622222222222227,4.033315128345426,174.0406433157283,169.14453705807549,184.36891754372644,226.77565849718945,164.00571428571433,190.1988333333332,11918216114.5,INR
IPCALAB,IPCA Laboratories Limited,1884.6,INR,8.672586783531303,6964903,18.56355527552138,439756322418,INR,Health technology,Strong buy,Pharmaceuticals: major,32.71830985915492,8.453703170858022,-0.18008474576271669,14.149000605693514,26.39839034205231,3.6472309394948748,1765.624849171362,1777.0758884131862,1724.1059573848402,1577.182298864271,1764.5285714285742,1697.8849999999986,13126056193.8,INR
PREMIERPOL,Premier Polyfilm Limited,83.59,INR,13.65057783820531,3454869,16.46088117413652,7709046178,INR,Non-energy minerals,No rating,Forest products,103.18424890617403,16.113349076260604,7.913761941647314,63.90196078431374,55.951492537313435,4.9706902739563015,72.97845027769915,74.63260034408408,68.59286730124572,58.69158511503496,73.50285714285714,65.64166666666674,288792499.71000004,INR
RUBICON,Rubicon Research Limited,1798.7,INR,11.092582298807988,3473690,15.329307229115043,267822339437,INR,Health technology,Strong buy,Biotechnology,167.54425107838765,15.301282051282053,27.098643301300168,79.38565872145207,127.68354430379746,3.7058510511560434,1571.7883440370374,1636.5011006683833,1435.2433295419255,954.9632077362395,1642.3857142857144,1389.5108333333335,6248126203,INR
VINYAS,Vinyas Innovative Technologies Limited,1330.55,INR,-3.8307253080842765,131500,14.825253664036076,17411597657.3,INR,Electronic technology,No rating,Electronic production equipment,18.271111111111107,7.302419354838706,-2.5238095238095273,36.88786008230452,31.08866995073891,5.463637486109574,1311.4100988688847,1323.7672814613313,1293.569773377788,1176.5875911831604,1335.7642857142866,1319.1633333333325,174967325,INR
PTCIL,PTC Industries Ltd,20584,INR,8.05249343832021,284135,14.572744477553762,285599067683,INR,Producer manufacturing,Strong buy,Metal fabrication,10.869331035225681,6.658376081662262,17.622857142857143,25.09267699787299,11.869565217391305,2.610904447282239,18619.320197253248,19144.604766409735,18059.580851085753,17126.696894383887,19292.571428571428,17943.783333333333,5848634840,INR
LATTEYS,Latteys Industries Ltd.,23.29,INR,13.113161728994655,651587,14.296148563555063,1183839002,INR,Producer manufacturing,No rating,Industrial machinery,5.815538391640152,11.06342393896042,16.449999999999996,3.5111111111111075,-6.050826946349335,4.842666993804832,20.56902990320179,20.88843043697525,20.87014473657246,21.81541418155306,20.72857142857143,21.29450000000001,15175461.229999999,INR
NEAGI,Neelamalai Agro Industries Limited,3295.9,INR,4.998407136030586,668,13.97489539748954,1907864238,INR,Consumer non-durables,No rating,Food: major diversified,-3.06176470588235,4.631746031746035,8.414196901417723,-1.320359281437123,-3.06176470588235,1.991868685336219,3151.4662834536066,3170.2293519825903,3170.0780005724782,,3160.199999999998,,2201661.2,INR
CALSOFT,California Software Co. Ltd.,25.83,INR,4.999999999999987,898888,13.92228260953742,859416150,INR,Technology services,No rating,Information technology services,51.05263157894734,16.246624662466246,17.51592356687897,25.754625121713726,82.80254777070061,3.099939162657041,22.567732267675332,23.246072393975492,21.807005039731003,18.27881877246259,23.027142857142856,22.070499999999985,23218277.04,INR
